sitename|url|firstInteractive-FMP|firstInteractive-FMP-1s|firstInteractive-FCP|firstInteractive-FMP-ReverseSearch|firstInteractive-FCP-ReverseSearch|firstInteractive-FMP-Network|firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive|firstInteractiveForwardSlideInHighEQTWindow|firstInteractiveNetRevLonelyTask|firstInteractiveNetRevLonelyWindow|firstInteractive-FMP-Proportional|firstInteractive-MaxFmpDcl|firstInteractive-Lighthouse|firstInteractive-EventListeners|firstInteractive-FMP-Proportional-w15-3000-lonely-ws-250-padding-1000psb-5000|firstInteractive-FCP-Proportional-w15-3000-lonely-ws-250-padding-1000psb-5000|firstInteractive-DCL-Proportional-w15-3000-lonely-ws-250-padding-1000psb-5000|firstInteractive-FMP-ForwardLonely|firstInteractive-FMP-ws-1000|firstInteractive-FMP-ws-1000-DCL|firstInteractive-FMP-ws-2000|firstInteractive-FMP-ws-2000-DCL|firstInteractive-FMP-ws-3000|firstInteractive-FMP-ws-3000-DCL|firstInteractive-FMP-ws-4000|firstInteractive-FMP-ws-4000-DCL|firstInteractive-FMP-ws-5000|firstInteractive-FMP-ws-5000-DCL|firstInteractive-FMP-Proportional-w15-1250|firstInteractive-FMP-Proportional-w15-1500|firstInteractive-FMP-Proportional-w15-1750|firstInteractive-FMP-Proportional-w15-2000|firstInteractive-FMP-Proportional-w15-2250|firstInteractive-FMP-Proportional-w15-2500|firstInteractive-FMP-Proportional-w15-2750|firstInteractive-FMP-Proportional-w15-3000
Housing |https://housing.com/in/buy/real-estate-hyderabad|4088.017999952316|Error: no histogram found|Error: no histogram found|4088.017999952316|Error: no histogram found|4583.679000045777|4088.017999952316|Error: no histogram found|4088.017999952316|4088.017999952316|Error: no histogram found|4088.017999952316|2511.0920000076294|2689.9749999046326|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|2455.5370000686644|2461.0920000076294|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316|4088.017999952316
Inbox (logged in)|https://inbox.google.com/|18400.677000087737|Error: no histogram found|Error: no histogram found|18400.677000087737|Error: no histogram found|23522.005999946596|18400.677000087737|Error: no histogram found|18400.677000087737|15878.982999992371|Error: no histogram found|18400.677000087737|4229.933000087738|4714.075000047684|10494.933000032424|10494.933000032424|10494.933000032424|15878.982999992371|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|18400.677000087737|18400.677000087737|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424|10494.933000032424
Live nation|http://www.livenation.com/|11043.024999860763|Error: no histogram found|Error: no histogram found|11043.024999860763|Error: no histogram found|11318.691999860763|11043.024999860763|Error: no histogram found|11043.024999860763|11043.024999860763|Error: no histogram found|11043.024999860763|4448.648999929428|5933.3079998493195|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|4605.952999908447|4605.952999908447|4605.952999908447|4605.952999908447|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763|11043.024999860763
Nasa|https://www.nasa.gov/|10347.363000091553|Error: no histogram found|Error: no histogram found|17477.633000059126|Error: no histogram found|17477.633000059126|17477.633000059126|Error: no histogram found|17477.633000059126|17477.633000059126|Error: no histogram found|10347.363000091553|9184.114000082016|10108.647000074387|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553|10347.363000091553
NPR|http://www.npr.org/|10877.751999938964|Error: no histogram found|Error: no histogram found|17431.490000032423|Error: no histogram found|19870.089000057218|17431.490000032423|Error: no histogram found|10877.751999938964|10877.751999938964|Error: no histogram found|10877.751999938964|5359.612999916077|5544.7300000190735|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964|5347.742000102997|5347.742000102997|5347.742000102997|5347.742000102997|5347.742000102997|5347.742000102997|5347.742000102997|5347.742000102997|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964|10877.751999938964
TED|http://www.ted.com/|11588.52300000763|Error: no histogram found|Error: no histogram found|11588.52300000763|Error: no histogram found|23934.557999860765|11588.52300000763|Error: no histogram found|11588.52300000763|11588.52300000763|Error: no histogram found|11588.52300000763|3528.053999900818|3490.5729999542236|11588.52300000763|5733.493999923706|5733.493999923706|11588.52300000763|6301.37099981308|6301.37099981308|6301.37099981308|6301.37099981308|6301.37099981308|6301.37099981308|6301.37099981308|6301.37099981308|11588.52300000763|11588.52300000763|11588.52300000763|11588.52300000763|11588.52300000763|11588.52300000763|11588.52300000763|11588.52300000763|11588.52300000763|11588.52300000763
TheStar|http://www.thestar.com.my/|28161.176000061034|Error: no histogram found|Error: no histogram found|36777.82200000954|Error: no histogram found|37369.43100008202|36777.82200000954|Error: no histogram found|28161.176000061034|28161.176000061034|Error: no histogram found|28161.176000061034|28209.207999944687|28415.489000082016|28161.176000061034|28159.207999944687|28161.176000061034|28161.176000061034|23943.06999990654|28159.207999944687|25479.49199995041|28159.207999944687|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034|28161.176000061034
Travis branch page|https://travis-ci.org/GoogleChrome/lighthouse/branches|12464.191000099183|Error: no histogram found|Error: no histogram found|12464.191000099183|Error: no histogram found|13285.021000137329|12464.191000099183|Error: no histogram found|12464.191000099183|12464.191000099183|Error: no histogram found|12464.191000099183|8910.927000045776|8462.675000190735|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183|12464.191000099183
Twitter (Logged in)|https://mobile.twitter.com/|6395.475999805451|Error: no histogram found|Error: no histogram found|6395.475999805451|Error: no histogram found|6937.763999919891|6395.475999805451|Error: no histogram found|4107.888999938965|6395.475999805451|Error: no histogram found|6395.475999805451|2780.550999879837|4139.356999874115|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|4112.522999958039|4112.522999958039|4112.522999958039|4112.522999958039|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451|6395.475999805451
Vevo|http://www.vevo.com/|5331.019000053406|Error: no histogram found|Error: no histogram found|19323.986000162124|Error: no histogram found|19924.782000007628|19323.986000162124|Error: no histogram found|19323.986000162124|19323.986000162124|Error: no histogram found|18814.639000177383|19264.639000177383|19798.982000112534|18814.639000177383|18814.639000177383|19323.986000162124|18814.639000177383|5331.019000053406|18814.639000177383|5331.019000053406|18814.639000177383|5331.019000053406|18814.639000177383|5331.019000053406|18814.639000177383|5331.019000053406|18814.639000177383|18814.639000177383|18814.639000177383|18814.639000177383|18814.639000177383|18814.639000177383|18814.639000177383|18814.639000177383|18814.639000177383
Vine|https://vine.co/|10565.7769999485|Error: no histogram found|Error: no histogram found|10565.7769999485|Error: no histogram found|11291.574999885559|10565.7769999485|Error: no histogram found|8791.033999919891|10565.7769999485|Error: no histogram found|10565.7769999485|8729.069999933243|8907.008999824524|10565.7769999485|8329.069999933243|10565.7769999485|10565.7769999485|8791.033999919891|8791.033999919891|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485|10565.7769999485
Weather|https://weather.com/|12869.886000123977|Error: no histogram found|Error: no histogram found|12869.886000123977|Error: no histogram found|13121.442000009536|12869.886000123977|Error: no histogram found|12869.886000123977|12869.886000123977|Error: no histogram found|12869.886000123977|6220.56200003624|8452.237999916077|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|6318.170999925614|6318.170999925614|9181.368000123977|9181.368000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977|12869.886000123977
Wikipedia article|https://en.m.wikipedia.org/wiki/Solo_Foods|4481.430999853134|Error: no histogram found|Error: no histogram found|4481.430999853134|Error: no histogram found|4481.430999853134|4481.430999853134|Error: no histogram found|4481.430999853134|4481.430999853134|Error: no histogram found|4481.430999853134|1871.332999944687|1845.898999929428|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|1819.8659998588562|1821.332999944687|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134|4481.430999853134
Yahoo|https://www.yahoo.com/|5140.874000020981|Error: no histogram found|Error: no histogram found|17237.362999952315|Error: no histogram found|20320.82799988365|17237.362999952315|Error: no histogram found|15557.068000030518|15557.068000030518|Error: no histogram found|13163.892999887466|13213.892999887466|13392.546000003815|13163.892999887466|13163.892999887466|17237.362999952315|13163.892999887466|5140.874000020981|13163.892999887466|5140.874000020981|13163.892999887466|5140.874000020981|13163.892999887466|5140.874000020981|13163.892999887466|5140.874000020981|13163.892999887466|13163.892999887466|13163.892999887466|13163.892999887466|13163.892999887466|13163.892999887466|13163.892999887466|13163.892999887466|13163.892999887466
Yahoo news post|https://www.yahoo.com/news/were-top-10-most-visited-us-national-parks-105323727.html?ref=gs|7470.541000009537|Error: no histogram found|Error: no histogram found|7470.541000009537|Error: no histogram found|7470.541000009537|7470.541000009537|Error: no histogram found|7470.541000009537|7470.541000009537|Error: no histogram found|7470.541000009537|4115.742000102997|4221.460000038147|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|4066.654999973297|4066.654999973297|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537|7470.541000009537
